rank,candidate_id,final_score,retrieval_fit,production_ai,yoe_fit,must_have_skills,vector_db_exp,product_company,ai_skill_count,behavior_score,honeypot_penalty
64,CAND_0096823,0.746177,0.7000,1.0000,0.9250,0.3000,1.0000,0.8000,0.4000,0.6937,0.0000
65,CAND_0044855,0.746150,1.0000,0.6000,1.0000,0.7000,1.0000,0.3000,0.6000,0.7550,0.0500
66,CAND_0018888,0.746015,0.7000,1.0000,1.0000,0.3000,0.8000,0.8000,0.3000,0.8155,0.0000
67,CAND_0061819,0.745540,0.7000,1.0000,1.0000,0.3000,1.0000,0.8000,0.3000,0.6580,0.0000
68,CAND_0091254,0.744662,0.7000,1.0000,1.0000,0.7000,0.5000,0.8000,0.4000,0.6282,0.0000
69,CAND_0048509,0.744505,1.0000,0.6000,0.9000,0.3000,1.0000,0.8000,0.4000,0.5885,0.0000
70,CAND_0097896,0.744340,1.0000,0.6000,0.9750,0.3000,1.0000,0.8000,0.4000,0.5180,0.0000
71,CAND_0041610,0.743100,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.4000,0.8700,0.0500
72,CAND_0098454,0.742915,0.7000,1.0000,1.0000,0.3000,1.0000,0.3000,0.3000,0.9455,0.0000
73,CAND_0019288,0.742702,0.7000,1.0000,1.0000,0.3000,1.0000,0.8000,0.3000,0.6362,0.0000
74,CAND_0095879,0.742425,0.7000,0.6000,1.0000,0.7000,1.0000,0.8000,0.7000,0.5725,0.0000
75,CAND_0013085,0.742252,0.7000,0.6000,1.0000,0.7000,1.0000,0.8000,0.7000,0.5712,0.0000
76,CAND_0012067,0.741885,0.7000,0.6000,0.9375,0.7000,1.0000,0.8000,0.6000,0.6645,0.0000
77,CAND_0049771,0.740930,1.0000,0.6000,1.0000,0.3000,0.8000,0.8000,0.3000,0.6610,0.0000
78,CAND_0086087,0.740282,0.7000,0.6000,0.9500,0.7000,1.0000,0.8000,0.7000,0.6022,0.0000
79,CAND_0016163,0.740090,1.0000,0.6000,1.0000,0.3000,1.0000,0.3000,0.6000,0.6930,0.0000
80,CAND_0058340,0.739587,0.7000,0.6000,1.0000,0.7000,1.0000,0.8000,0.7000,0.5507,0.0000
81,CAND_0098846,0.739200,1.0000,0.6000,1.0000,0.3000,0.5000,0.8000,0.4000,0.8400,0.0000
82,CAND_0011327,0.738732,1.0000,1.0000,1.0000,0.0000,0.5000,0.8000,0.1000,0.7672,0.0000
83,CAND_0051292,0.738420,1.0000,0.6000,1.0000,0.3000,1.0000,0.8000,0.4000,0.8340,0.0500
84,CAND_0008978,0.736910,0.7000,0.6000,1.0000,0.7000,1.0000,0.8000,0.5000,0.6070,0.0000
85,CAND_0008295,0.736550,1.0000,0.6000,1.0000,0.3000,0.5000,0.8000,0.1000,0.9350,0.0000
86,CAND_0044890,0.736260,1.0000,1.0000,1.0000,0.3000,0.5000,0.3000,0.3000,0.7020,0.0000
87,CAND_0002336,0.735512,0.7000,0.6000,1.0000,0.7000,0.8000,0.8000,0.7000,0.6732,0.0000
88,CAND_0041594,0.734925,0.7000,1.0000,0.9125,0.3000,0.8000,0.8000,0.4000,0.7725,0.0000
89,CAND_0008517,0.734705,1.0000,1.0000,1.0000,0.3000,0.5000,0.3000,0.2000,0.7285,0.0000
90,CAND_0032179,0.734700,0.7000,1.0000,1.0000,0.3000,0.8000,0.8000,0.4000,0.6900,0.0000
91,CAND_0028793,0.734650,1.0000,0.6000,1.0000,0.7000,0.5000,0.3000,0.5000,0.7050,0.0000
92,CAND_0054100,0.734500,0.7000,1.0000,1.0000,0.0000,1.0000,0.8000,0.3000,0.8500,0.0000
93,CAND_0042100,0.733865,1.0000,0.6000,1.0000,0.3000,0.8000,0.8000,0.3000,0.7605,0.0200
94,CAND_0088335,0.733585,1.0000,0.6000,1.0000,0.3000,0.8000,0.8000,0.3000,0.6045,0.0000
95,CAND_0073007,0.733425,0.7000,1.0000,1.0000,0.3000,1.0000,0.3000,0.3000,0.8725,0.0000
96,CAND_0095031,0.733140,0.7000,1.0000,1.0000,0.3000,0.8000,0.8000,0.4000,0.6780,0.0000
97,CAND_0035148,0.732945,0.7000,0.6000,1.0000,0.7000,1.0000,0.8000,0.5000,0.5765,0.0000
98,CAND_0011432,0.731985,1.0000,0.6000,1.0000,0.3000,1.0000,0.3000,0.2000,0.7845,0.0000
99,CAND_0076154,0.731972,0.7000,0.6000,0.9750,0.7000,1.0000,0.8000,0.7000,0.5152,0.0000
100,CAND_0033179,0.731487,1.0000,0.6000,1.0000,0.3000,0.5000,0.8000,0.4000,0.7807,0.0000
